seller_name,Count_of_favs,total_sales,total_shop_reviews,shop_rating,years_active_with_Etsy,seller_return_policy,seller_return_time,seller_shipping_time,seller_responsivess
pbClocks,"267 Admirers","485 sales","(97)","5","On Etsy since 2011","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
DefinitionVintage,"18 Admirers","24 sales","(13)","5","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","3–5 business days","within 24 hours."
Wishbringer,"428 Admirers","505 sales","(63)","5","On Etsy since 2015","I gladly accept returns and exchanges","3 days of delivery","1–3 business days","within a few hours."
lbarril,"321 Admirers","1,143 sales","(436)","4.8462","On Etsy since 2011","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
MapachoPeru,"709 Admirers","1,472 sales","(235)","4.5625","On Etsy since 2015","","","1–3 business days",""
Latelierbellelurette,"8774 Admirers","1,001 sales","(148)","4.9524","On Etsy since 2014","","","3–5 business days",""
AsFoundByUs4U,"181 Admirers","169 sales","","5","On Etsy since 2013","","","1–2 business days","within 24 hours."
ArtAndAntiquesStudio,"270 Admirers","271 sales","(74)","4.9474","On Etsy since 2017","I gladly accept returns","5 days of delivery","3–5 business days","within a few hours."
sixpencebluemoon,"1061 Admirers","2,582 sales","(869)","4.9204","On Etsy since 2009","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
86home,"29039 Admirers","1,916 sales","(499)","5","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
TheParsonsPleasures,"9493 Admirers","1,669 sales","(403)","5","On Etsy since 2013","","","","within 24 hours."
GentryAntiques,"1361 Admirers","878 sales","(238)","5","On Etsy since 2012","I gladly accept cancellations","24 hours of purchase","1–2 weeks","within a few hours."
KabulGallery,"2144 Admirers","775 sales","(132)","4.9697","On Etsy since 2015","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within 24 hours."
TheVintageAmerica,"853 Admirers","1,581 sales","(310)","4.8053","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
Vintagestopover,"110 Admirers","346 sales","","4","On Etsy since 2012","","","Instant Download","within 24 hours."
chrisaliciavintage,"1317 Admirers","1,875 sales","(402)","4.9643","On Etsy since 2014","I gladly accept returns and exchanges","14 days of delivery","1–3 business days",""
yankytreasure,"1370 Admirers","2,849 sales","(697)","4.9535","On Etsy since 2012","I gladly accept returns","7 days of delivery","1–3 business days","within a few hours."
WonderlandWarehouse,"207 Admirers","306 sales","(60)","4.96","On Etsy since 2017","I gladly accept returns and exchanges","7 days of delivery","1–3 business days","within a few hours."
BestOldStuff,"63 Admirers","25 sales","(2)","5","On Etsy since 2016","","","1–3 business days",""
NWAttic,"603 Admirers","1,418 sales","(313)","5","On Etsy since 2015","","","3–5 business days","within a few hours."
LallabaruHome,"2103 Admirers","569 sales","(123)","5","On Etsy since 2013","I gladly accept returns and exchanges","5 days of delivery","3–5 business days","within a few hours."
bestLuba,"8191 Admirers","4,438 sales","(929)","4.8481","On Etsy since 2013","I don't accept returns, exchanges, or cancellations","","1 business day","within 24 hours."
AntiqueVintageEstate,"2215 Admirers","769 sales","(316)","5","On Etsy since 2009","I gladly accept cancellations","24 hours of purchase","1–2 business days",""
AntiquesAtlanta,"1049 Admirers","322 sales","(118)","5","On Etsy since 2013","I gladly accept returns and exchanges","14 days of delivery","1 business day","within a few hours."
GlenwoodPickers,"103 Admirers","128 sales","(25)","5","On Etsy since 2016","","","1–2 business days","within a few hours."
MonteViola,"149 Admirers","81 sales","","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
ivonabg,"276 Admirers","459 sales","(114)","4.8636","On Etsy since 2015","","","1–3 business days","within 24 hours."
TwoBeContinued,"2196 Admirers","6,354 sales","(1344)","4.953","On Etsy since 2015","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
therpsajik,"6763 Admirers","23,194 sales","(7975)","4.95","On Etsy since 2009","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
GramsClosets,"255 Admirers","403 sales","(110)","4.875","On Etsy since 2014","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
EmyLittleShop,"238 Admirers","260 sales","(50)","4.8462","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within a few hours."
schneeweisschen55,"146 Admirers","220 sales","(777)","4.875","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within 24 hours."
HardlyAbleStable,"1976 Admirers","7,158 sales","(3394)","4.9708","On Etsy since 2010","I gladly accept returns","5 days of delivery","1–2 business days","within a few hours."
AFullVintageCabinet,"142 Admirers","261 sales","(63)","5","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1–2 business days",""
PolishInstitute,"","","","","On Etsy since 2019","","","",""
anomaliesrandomitems,"16 Admirers","2 sales","","5","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days",""
TasteVintage,"5877 Admirers","6,457 sales","(1711)","4.8687","On Etsy since 2012","I gladly accept returns, exchanges, and cancellations","14 days of delivery","3–4 weeks","within 24 hours."
GreatGatsbys,"912 Admirers","2,133 sales","(468)","4.9466","On Etsy since 2013","I gladly accept exchanges","3 days of delivery","","within 24 hours."
VintageAvangardShop,"230 Admirers","682 sales","(156)","4.7313","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1–3 business days","within a few hours."
DDB7,"2199 Admirers","3,610 sales","(1543)","4.937","On Etsy since 2008","","","1–2 business days","within 24 hours."
RelishedAntiquity,"1352 Admirers","963 sales","(226)","4.9759","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
Popsplace,"142 Admirers","654 sales","(145)","4.9118","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
SwedishGalsAntiques,"656 Admirers","1,063 sales","(438)","5","On Etsy since 2009","","","1–2 business days","within 24 hours."
BeatifulVintage,"81 Admirers","113 sales","(13)","4.9231","On Etsy since 2018","","","1 business day","within a few hours."
auntemmascloset,"143 Admirers","426 sales","(92)","4.7917","On Etsy since 2016","","","1–3 business days","within a few hours."
RedCottageDoor,"68 Admirers","193 sales","(84)","5","On Etsy since 2016","","","1–2 weeks","within 24 hours."
Retirementpickins,"756 Admirers","1,959 sales","(503)","4.8947","On Etsy since 2016","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
OnceUponTimeStore,"100 Admirers","58 sales","(18)","4.7647","On Etsy since 2018","I don't accept returns, exchanges, or cancellations","","3–4 weeks","within a few hours."
FallsAveVintage,"215 Admirers","602 sales","(160)","4.9435","On Etsy since 2018","I gladly accept exchanges","5 days of delivery","1–2 business days","within a few hours."
VintageBulgariaBG,"10 Admirers","28 sales","(4)","5","On Etsy since 2019","I gladly accept cancellations","2 hours of purchase","1–2 business days","within 24 hours."
FlowerChildTrends,"1032 Admirers","288 sales","(66)","5","On Etsy since 2015","I gladly accept returns","3 days of delivery","3–5 business days",""
classiccollector,"2535 Admirers","945 sales","(259)","4.8333","On Etsy since 2011","I gladly accept returns","3 days of delivery","1 business day","within a few hours."
PoorLittleRobin,"1505 Admirers","4,334 sales","(1165)","4.9409","On Etsy since 2011","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
InheritedAttraction,"562 Admirers","664 sales","(216)","4.9231","On Etsy since 2014","I gladly accept returns and exchanges","3 days of delivery","1–2 business days","within 24 hours."
DougiesTreasures,"179 Admirers","262 sales","(86)","4.9091","On Etsy since 2017","I gladly accept returns and cancellations","3 days of delivery","1–2 business days","within a few hours."
Wunderkammerland,"432 Admirers","20 sales","(6)","4.3333","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
SecretGuitars,"182 Admirers","10 sales","","1","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within 24 hours."
JakAndL,"50 Admirers","66 sales","(15)","5","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
maydo2019,"11 Admirers","4 sales","","","On Etsy since 2019","","","3–4 weeks",""
GrantsEmporium,"199 Admirers","65 sales","(9)","5","On Etsy since 2016","","","3–5 business days",""
smilehood,"2750 Admirers","6,967 sales","(800)","4.9125","On Etsy since 2010","I gladly accept returns and exchanges","7 days of delivery","3–5 business days","within 24 hours."
BMunique,"406 Admirers","1,774 sales","(459)","4.9688","On Etsy since 2015","I gladly accept returns and exchanges","7 days of delivery","1–3 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
pbClocks,"267 Admirers","485 sales","(97)","5","On Etsy since 2011","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
TheVintageEurope,"3403 Admirers","4,834 sales","(1014)","4.9112","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
BensVintageItems,"550 Admirers","2,014 sales","(509)","4.8296","On Etsy since 2014","","","1–2 business days","within a few hours."
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
OrphanedTreasure,"3103 Admirers","3,739 sales","(918)","4.9615","On Etsy since 2013","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
RedBarnSquareDoor,"106 Admirers","122 sales","(24)","5","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1–3 business days",""
SuitcaseAntiques,"631 Admirers","809 sales","(186)","4.8679","On Etsy since 2013","I gladly accept exchanges","3 days of delivery","1–2 business days","within 24 hours."
CrisMichaelsCreation,"210 Admirers","639 sales","(179)","5","On Etsy since 2010","I gladly accept returns","14 days of delivery","3–5 business days","within 24 hours."
RedRiverAntiques,"8869 Admirers","18,076 sales","(5429)","4.9788","On Etsy since 2011","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
USSRvintageUA,"603 Admirers","460 sales","(76)","4.973","On Etsy since 2017","I gladly accept returns","14 days of delivery","1–3 business days","within 24 hours."
RRGS,"1192 Admirers","1,470 sales","(416)","4.9444","On Etsy since 2011","","","1–3 business days","within a few hours."
NarMag,"2509 Admirers","2,781 sales","(534)","4.9106","On Etsy since 2015","I gladly accept returns, exchanges, and cancellations","14 days of delivery","2–3 weeks","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","3–5 business days",""
RetroplazaShop,"64 Admirers","47 sales","(14)","4.7143","On Etsy since 2019","","","1–3 business days","within a few hours."
KrustyTubs,"223 Admirers","186 sales","(55)","5","On Etsy since 2015","","","1–3 business days","within 24 hours."
TheLuckyHat,"91 Admirers","285 sales","(88)","5","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
WhiskeyRiverAntiques,"424 Admirers","1,731 sales","(410)","4.9341","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within 24 hours."
BrocanteSisters,"630 Admirers","2,210 sales","(757)","4.9655","On Etsy since 2014","I gladly accept returns","3 days of delivery","3–5 business days","within a few hours."
OnceUponTimeStore,"100 Admirers","58 sales","(18)","4.7647","On Etsy since 2018","I don't accept returns, exchanges, or cancellations","","3–4 weeks","within a few hours."
PowellGuitars,"5 Admirers","2 sales","","","On Etsy since 2016","","","1–3 business days","within 24 hours."
AlRetro,"8 Admirers","24 sales","","5","On Etsy since 2012","","","1–3 business days","within 24 hours."
SheBangArt,"413 Admirers","1,909 sales","(381)","4.9701","On Etsy since 2014","I gladly accept returns","7 days of delivery","1–2 business days","within a few hours."
SilverliningByTravis,"852 Admirers","6,143 sales","(1380)","4.9477","On Etsy since 2016","I gladly accept returns and cancellations","14 days of delivery","1–3 business days","within 24 hours."
FoundAndFlogged,"1299 Admirers","3,048 sales","(852)","4.976","On Etsy since 2015","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1 business day","within a few hours."
Norsetreasury2020,"","","","","On Etsy since 2020","","","1–3 business days",""
SpinePOP,"3 Admirers","35 sales","(2)","5","On Etsy since 2019","","","3–5 business days","within 24 hours."
YourVintageDays,"2169 Admirers","656 sales","(181)","5","On Etsy since 2014","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within 24 hours."
SovietLife,"518 Admirers","907 sales","(266)","4.9737","On Etsy since 2015","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
CaughtMyFancy,"475 Admirers","741 sales","(224)","4.9783","On Etsy since 2016","I gladly accept returns","3 days of delivery","1–3 business days","within a few hours."
VintageStupidDog,"883 Admirers","1,577 sales","(341)","4.9659","On Etsy since 2015","","","1–2 business days","within a few hours."
atendertouchdecor,"146 Admirers","313 sales","(99)","4.8","On Etsy since 2014","","","3–5 business days","within 24 hours."
WhiteEnterprises,"193 Admirers","552 sales","(119)","4.75","On Etsy since 2012","","","1–2 business days","within a few hours."
ShacklefordPianos,"26 Admirers","","","","On Etsy since 2017","","","1–2 weeks",""
bitzandpiecesShop,"205 Admirers","818 sales","(199)","4.9505","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","1 business day","within a few hours."
HonniMusic,"531 Admirers","274 sales","(71)","4.9286","On Etsy since 2014","","","4–6 weeks","within 24 hours."
LeezManCaveHeaven,"85 Admirers","239 sales","(59)","5","On Etsy since 2015","","","1 business day","within a few hours."
BlendedArtifacts,"14 Admirers","2 sales","","4","On Etsy since 2018","","","3–5 business days",""
ClapboardChronicles,"2 Admirers","9 sales","(3)","5","On Etsy since 2019","","","1–2 business days",""
smilehood,"2750 Admirers","6,967 sales","(800)","4.9125","On Etsy since 2010","I gladly accept returns and exchanges","7 days of delivery","3–5 business days","within 24 hours."
RetroReaction,"1382 Admirers","5,077 sales","(1396)","4.9833","On Etsy since 2011","","","1–2 business days","within 24 hours."
ellansrelics02,"1512 Admirers","3,061 sales","(923)","4.9692","On Etsy since 2008","","","1–3 business days","within a few hours."
RandomAmazing,"303 Admirers","1,837 sales","(504)","4.9809","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
DublinsAttic,"283 Admirers","1,129 sales","(316)","4.9032","On Etsy since 2017","I gladly accept returns","3 days of delivery","1–2 business days","within a few hours."
21GristmillLane,"469 Admirers","1,227 sales","(433)","4.9565","On Etsy since 2012","","","1–2 business days","within a few hours."
86home,"29039 Admirers","1,916 sales","(499)","5","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
LeftoverStuff,"1970 Admirers","3,187 sales","(763)","4.8673","On Etsy since 2008","I gladly accept returns","3 days of delivery","1–3 business days","within a few hours."
Morethebuckles,"3619 Admirers","6,171 sales","(1546)","4.9065","On Etsy since 2014","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
ReVintageLannie,"3777 Admirers","3,240 sales","(719)","4.7234","On Etsy since 2012","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
ARoadThroughTime,"4471 Admirers","5,021 sales","(1063)","4.8889","On Etsy since 2012","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within 24 hours."
BeatifulVintage,"81 Admirers","113 sales","(13)","4.9231","On Etsy since 2018","","","1 business day","within a few hours."
RelishedAntiquity,"1352 Admirers","963 sales","(226)","4.9759","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
GuestFromThePast,"3002 Admirers","5,431 sales","(797)","4.8397","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within a few hours."
Vintagefrenchlinens,"8334 Admirers","2,858 sales","(1007)","4.9605","On Etsy since 2010","I gladly accept returns and exchanges","14 days of delivery","","within 24 hours."
ZeitreiseFrankfurt,"2597 Admirers","1,458 sales","(354)","4.907","On Etsy since 2013","I gladly accept returns","14 days of delivery","1–3 business days","within 24 hours."
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
VintageAvangardShop,"230 Admirers","682 sales","(156)","4.7313","On Etsy since 2017","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1–3 business days","within a few hours."
ZeitreiseFrankfurt,"2597 Admirers","1,458 sales","(354)","4.907","On Etsy since 2013","I gladly accept returns","14 days of delivery","1 business day","within 24 hours."
pbClocks,"267 Admirers","485 sales","(97)","5","On Etsy since 2011","I gladly accept cancellations","1 hour of purchase","1–2 business days","within a few hours."
sallys4025,"497 Admirers","1,145 sales","(447)","4.9444","On Etsy since 2007","","","1–3 business days","within a few hours."
ZeitreiseFrankfurt,"2597 Admirers","1,458 sales","(354)","4.907","On Etsy since 2013","I gladly accept returns","14 days of delivery","1 business day","within 24 hours."
VintageUSSRStore,"70 Admirers","81 sales","(14)","5","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
LittleRussetFox,"4 Admirers","16 sales","(2)","5","On Etsy since 2019","I don't accept returns, exchanges, or cancellations","","1–3 business days",""
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
OldTownHouse,"120 Admirers","644 sales","(125)","4.9747","On Etsy since 2018","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–3 business days","within a few hours."
SecretGuitars,"182 Admirers","10 sales","","1","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within 24 hours."
KrustyTubs,"223 Admirers","186 sales","(55)","5","On Etsy since 2015","","","1–3 business days","within 24 hours."
CuriosityShopper,"5066 Admirers","4,963 sales","(1061)","4.9266","On Etsy since 2013","I gladly accept returns and exchanges","5 days of delivery","3–5 business days","within a few hours."
Harmony4Life,"1387 Admirers","893 sales","(123)","5","On Etsy since 2012","I gladly accept returns and exchanges","14 days of delivery","1–2 business days",""
BlendedArtifacts,"14 Admirers","2 sales","","4","On Etsy since 2018","","","3–5 business days",""
LaLadysVintageFinds,"94 Admirers","948 sales","(161)","4.9814","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1 business day","within a few hours."
TheVintageEurope,"3403 Admirers","4,834 sales","(1014)","4.9112","On Etsy since 2014","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within a few hours."
MarketFleaShop,"227 Admirers","461 sales","(107)","4.9153","On Etsy since 2017","","","1–3 business days","within a few hours."
VintageMuseumShop,"238 Admirers","480 sales","(116)","4.9204","On Etsy since 2019","I gladly accept returns and exchanges","14 days of delivery","1–2 business days","within 24 hours."
AtlanticWayAntiques,"72 Admirers","76 sales","(18)","5","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","1–3 business days","within a few hours."
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
VintageRiverview,"475 Admirers","781 sales","(205)","5","On Etsy since 2012","","","1–2 business days","within a few hours."
Bielerpr,"114 Admirers","113 sales","(27)","5","On Etsy since 2007","I gladly accept returns","14 days of delivery","1–2 business days","within a few hours."
TheVintagePrincipal,"720 Admirers","4,949 sales","(1252)","4.9487","On Etsy since 2014","I gladly accept cancellations","before item has shipped","1–3 business days","within a few hours."
reAwesome,"1437 Admirers","4,173 sales","(1147)","4.9726","On Etsy since 2012","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
IRAvintageUSSR,"63 Admirers","83 sales","(15)","5","On Etsy since 2018","I don't accept returns, exchanges, or cancellations","","1–2 business days","within 24 hours."
TatsGramsDelights,"261 Admirers","574 sales","(173)","4.6667","On Etsy since 2012","I don't accept returns, exchanges, or cancellations","","","within a few hours."
WonderlandWarehouse,"207 Admirers","306 sales","(60)","4.96","On Etsy since 2017","I gladly accept returns and exchanges","7 days of delivery","1–3 business days","within a few hours."
Rue15Vintage,"363 Admirers","260 sales","(71)","5","On Etsy since 2012","I gladly accept returns","14 days of delivery","3–5 business days",""
EVEofEngland,"13510 Admirers","10,440 sales","(2020)","4.934","On Etsy since 2010","I gladly accept returns, exchanges, and cancellations","7 days of delivery","1–2 business days","within a few hours."
Cocobaroco,"1991 Admirers","1,462 sales","(361)","4.9506","On Etsy since 2016","I gladly accept returns and cancellations","3 days of delivery","3–5 business days","within a few hours."
TomsVintageStraps,"21 Admirers","43 sales","(5)","5","On Etsy since 2019","","","1–3 business days","within a few hours."
CassandrasNotebook,"1872 Admirers","8,962 sales","(2357)","4.9619","On Etsy since 2012","I gladly accept returns and cancellations","3 days of delivery","1–3 business days","within a few hours."
JoesVintageTreasure,"78 Admirers","78 sales","(14)","4.4","On Etsy since 2016","","","1–3 business days",""
VintageStarrBeads,"9363 Admirers","23,283 sales","(10627)","4.9829","On Etsy since 2009","I gladly accept returns and cancellations","7 days of delivery","1–2 business days","within a few hours."
DesignsbyRivera,"844 Admirers","1,070 sales","(314)","4.7436","On Etsy since 2013","I gladly accept returns and exchanges","3 days of delivery","1–2 business days","within a few hours."
HeetersHaven,"3311 Admirers","32,203 sales","(11608)","4.9588","On Etsy since 2015","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
MadCityPicks,"304 Admirers","616 sales","(194)","5","On Etsy since 2014","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
MotleyVG,"156 Admirers","445 sales","(113)","5","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
ithadtobevintage,"309 Admirers","313 sales","(61)","4.9231","On Etsy since 2009","","","1–3 business days","within 24 hours."
HippyTraveler,"470 Admirers","699 sales","(172)","4.8816","On Etsy since 2012","","","3–5 business days","within 24 hours."
FabFinds42,"1014 Admirers","2,830 sales","(708)","4.8424","On Etsy since 2015","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1 business day","within a few hours."
maliasmark,"3501 Admirers","5,960 sales","(1504)","4.9717","On Etsy since 2008","I gladly accept returns, exchanges, and cancellations","3 days of delivery","1–2 business days","within a few hours."
Venchasvintage,"77 Admirers","371 sales","(58)","4.4444","On Etsy since 2016","","","","within 24 hours."
SustainingBeauty,"69 Admirers","225 sales","(65)","5","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","1–2 business days","within a few hours."
MaurascollectiblesUS,"71 Admirers","89 sales","(25)","4.8667","On Etsy since 2018","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
classiccollector,"2535 Admirers","945 sales","(259)","4.8333","On Etsy since 2011","I gladly accept returns","3 days of delivery","1 business day","within a few hours."
KabulGallery,"2144 Admirers","775 sales","(132)","4.9697","On Etsy since 2015","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within 24 hours."
ShopRussStore,"2 Admirers","","","","On Etsy since 2018","","","1–2 weeks","within a few hours."
WhiskeyRiverAntiques,"424 Admirers","1,731 sales","(410)","4.9341","On Etsy since 2017","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within 24 hours."
epicvintagejewelry,"2863 Admirers","18,645 sales","(4063)","4.8229","On Etsy since 2012","","","1–3 business days",""
TheClassicButterfly,"4468 Admirers","5,238 sales","(2049)","4.959","On Etsy since 2008","I gladly accept returns","5 days of delivery","1–2 business days","within 24 hours."
ShacklefordPianos,"26 Admirers","","","","On Etsy since 2017","","","1–2 weeks",""
BitakaVintage,"1052 Admirers","2,258 sales","(512)","4.9083","On Etsy since 2015","","","1 business day","within a few hours."
Funkystuff13,"1141 Admirers","4,075 sales","(1030)","4.9564","On Etsy since 2012","I gladly accept cancellations","24 hours of purchase","1–3 business days","within a few hours."
BlendedArtifacts,"14 Admirers","2 sales","","4","On Etsy since 2018","","","3–5 business days",""
86home,"29039 Admirers","1,916 sales","(499)","5","On Etsy since 2010","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
Poppycbrilliant,"1717 Admirers","1,695 sales","(466)","5","On Etsy since 2010","I gladly accept returns","3 days of delivery","1–2 business days","within 24 hours."
MissBargainHuntress,"1700 Admirers","5,225 sales","(1202)","4.8899","On Etsy since 2013","I gladly accept returns and exchanges","14 days of delivery","1 business day","within 24 hours."
greenkittenvintage,"2012 Admirers","4,161 sales","(1113)","4.9198","On Etsy since 2011","I don't accept returns, exchanges, or cancellations","","1–3 business days","within a few hours."
MelkinsElectronics,"","","","","On Etsy since 2020","","","1–3 business days",""
UpsideGroove,"4 Admirers","39 sales","(7)","4.8571","On Etsy since 2020","I don't accept returns, exchanges, or cancellations","","1–3 business days","within 24 hours."
MamaMiaAntiques,"821 Admirers","1,286 sales","(312)","4.9238","On Etsy since 2017","I don't accept returns, exchanges, or cancellations","","3–5 business days","within a few hours."
prestigiousantiques,"1000 Admirers","2,237 sales","(543)","4.918","On Etsy since 2015","I gladly accept cancellations","2 days of purchase","1 business day","within a few hours."
MoreUnusualTheBetter,"707 Admirers","2,143 sales","(662)","4.9252","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
rediscoverd,"736 Admirers","1,437 sales","(407)","4.9924","On Etsy since 2013","I gladly accept returns and exchanges","3 days of delivery","1–3 business days","within 24 hours."
paperboyspaper,"177 Admirers","544 sales","(103)","5","On Etsy since 2013","","","1–3 business days","within 24 hours."
SheBangArt,"413 Admirers","1,909 sales","(381)","4.9701","On Etsy since 2014","I gladly accept returns","7 days of delivery","1–2 business days","within a few hours."
KraftyKennedysOnline,"50 Admirers","76 sales","(19)","4.9412","On Etsy since 2018","I gladly accept returns and exchanges","14 days of delivery","1–3 business days",""
MyMomsStuffByHerKids,"7 Admirers","30 sales","(2)","5","On Etsy since 2020","","","1–3 business days",""
MoreUnusualTheBetter,"707 Admirers","2,143 sales","(662)","4.9252","On Etsy since 2016","I gladly accept returns and exchanges","14 days of delivery","3–5 business days","within a few hours."
aFarmOfArt,"1024 Admirers","815 sales","(236)","5","On Etsy since 2011","","","1–2 business days","within 24 hours."
VintageShopandNew,"524 Admirers","1,873 sales","(366)","4.8841","On Etsy since 2014","","","1–3 business days","within a few hours."
2SistersSalvage,"92 Admirers","244 sales","(56)","5","On Etsy since 2015","","","1–2 weeks","within 24 hours."
UNIQUETREASUREFREAK,"992 Admirers","3,157 sales","(707)","4.8502","On Etsy since 2016","I gladly accept returns and exchanges","3 days of delivery","1–2 business days","within 24 hours."
larasstyle,"238 Admirers","333 sales","(48)","5","On Etsy since 2015","I gladly accept returns, exchanges, and cancellations","14 days of delivery","1–2 business days","within 24 hours."
Funkystuff13,"1141 Admirers","4,075 sales","(1030)","4.9564","On Etsy since 2012","I gladly accept cancellations","24 hours of purchase","1–3 business days","within a few hours."
TheBeautifulWhatNots,"268 Admirers","534 sales","(144)","5","On Etsy since 2016","I don't accept returns, exchanges, or cancellations","","1–2 weeks","within a few hours."
MaryAntiqueStuff,"1 Admirer","","","","On Etsy since 2020","I gladly accept returns and exchanges","7 days of delivery","1–3 business days",""
Polaroidist88,"1 Admirer","","","","On Etsy since 2020","","","1–2 business days",""
VALANDIASHOP,"45 Admirers","134 sales","(15)","4.8","On Etsy since 2019","I gladly accept returns, exchanges, and cancellations","5 days of delivery","4–6 weeks","within a few hours."
2KalamazooGypsies,"96 Admirers","333 sales","(98)","5","On Etsy since 2008","I gladly accept returns","3 days of delivery","1–3 business days","within a few hours."
CherLewCollectibles,"24 Admirers","196 sales","(49)","4.7586","On Etsy since 2017","","","1 business day",""
